YYYYMM,Value,Description,Unit
198112,106608.232,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198201,113123.631,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198202,96905.528,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198203,97625.094,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198204,88115.664,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198205,92997.402,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198206,95313.637,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198207,110617.225,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198208,110124.075,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198209,96895.697,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198210,93769.09,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198211,95547.275,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198212,100969.888,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198301,108164.265,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198302,92691.602,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198303,95598.248,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198304,88113.755,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198305,91296.386,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198306,101512.015,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198307,121560.33,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198308,129312.743,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198309,108867.586,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198310,101951.282,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198311,103225.255,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198312,117130.811,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198401,120850.261,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198402,104706.39,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198403,111157.719,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198404,97541.501,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198405,100138.89,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198406,115425.514,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198407,121094.329,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198408,127743.902,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198409,108861.54,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198410,110800.527,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
